


hit index// stereo angles (*itH)->dxDy()//weight (*itH)->w()//(*itH)->z()-m_geoTool->rReference // track.delta(*iH) // track.distance(*itH)
 For a new Track : 
 10 -0.0874634 51.0204 825.8 -40.3768 3.53149
 For a new Track : 
 1 0 51.0204 887.4 0 1.28674
 2 0 51.0204 702.6 0 -1.50659
 3 0 51.0204 202.4 0 -1.76544
 4 0 51.0204 17.5996 0 0.689026
 5 0 51.0204 -479.6 0 12.4457
 6 -0.0874634 51.0204 140.8 7.07537 -0.618835
 7 -0.0874939 156.25 -541.2 -166.193 14.5409
 8 0.0874634 51.0204 79.2002 -4.43126 -0.387573
 9 0.0874634 51.0204 764.2 -7.72645 -0.675781
 10 -0.0874634 51.0204 825.8 0.505932 -0.0442505
 For a new Track : 
 1 0 51.0204 887.4 0 0.243286
 2 0 51.0204 702.6 0 -0.189026
 3 0 51.0204 202.4 0 -0.160583
 4 0 51.0204 17.5996 0 0.145264
 5 0 51.0204 -479.6 0 0.0809937
 6 -0.0874634 51.0204 140.8 52.8597 -4.62329
 7 -0.0874939 156.25 -541.2 144.168 -12.6139
 8 0.0874634 51.0204 79.2002 64.508 5.64209
 9 0.0874634 51.0204 764.2 -22.9358 -2.00604
 10 -0.0874634 51.0204 825.8 -28.8639 2.52454
 For a new Track : 
 1 0 51.0204 887.4 0 0.148132
 2 0 51.0204 702.6 0 -0.202026
 3 0 51.0204 202.4 0 -0.088623
 4 0 51.0204 17.5996 0 0.197815
 5 0 51.0204 -479.6 0 -0.0545654
 6 -0.0874634 51.0204 140.8 52.0754 -4.55469
 7 -0.0874939 156.25 -541.2 146.142 -12.7865
 8 0.0874634 51.0204 79.2002 65.2184 5.70422
 9 0.0874634 51.0204 764.2 -23.3629 -2.0434
 10 -0.0874634 51.0204 825.8 -28.1235 2.45978
 For a new Track : 
 1 0 51.0204 887.4 0 0.957458
 2 0 51.0204 702.6 0 -1.09192
 3 0 51.0204 202.4 0 -1.26801
 4 0 51.0204 17.5996 0 0.503662
 5 0 51.0204 -479.6 0 8.51266
 6 -0.0874634 51.0204 140.8 3.53664 -0.309326
 7 -0.0874939 156.25 -541.2 -113.739 9.95145
 8 0.0874634 51.0204 79.2002 -3.42917 -0.299927
 9 0.0874634 51.0204 764.2 -5.24355 -0.458618
 10 -0.0874634 51.0204 825.8 1.03978 -0.0909424
 For a new Track : 
 1 0 51.0204 702.6 0 0.0437927
 2 0 51.0204 202.4 0 -0.121399
 3 0 82.6446 17.5996 0 0.00175476
 4 0 82.6446 -479.6 0 0.144882
 5 0 82.6446 -664.4 0 -0.0987701
 6 -0.0874939 82.6446 -541.2 71.0092 -6.21288
 7 0.0874939 51.0204 -602.8 75.3668 6.59413
 8 -0.0874901 51.0204 825.8 92.023 -8.0511
 9 0.0874939 82.6446 79.2002 86.3671 7.55659
 10 -0.0874939 51.0204 140.8 87.4948 -7.65526
 11 0.0874939 156.25 -602.8 82.5373 7.22151
 For a new Track : 
 1 0 51.0204 702.6 0 0.0437927
 2 0 51.0204 202.4 0 -0.121368
 3 0 82.6446 17.5996 0 0.00178528
 4 0 82.6446 -479.6 0 0.144897
 5 0 82.6446 -664.4 0 -0.0987854
 6 -0.0874939 82.6446 -541.2 71.0091 -6.21286
 7 0.0874939 51.0204 -602.8 75.3668 6.59413
 8 -0.0874901 51.0204 825.8 92.0232 -8.05111
 9 0.0874939 82.6446 79.2002 86.3675 7.55663
 10 -0.0874939 51.0204 140.8 87.4944 -7.65523
 11 0.0874939 156.25 -602.8 82.5373 7.22151
